ChEMBL ID,Name,Max Phase,Molecular Formula,Molecular Weight,SMILES
CHEMBL53,N/A,4.0,C17H17NO2,N/A,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CHEMBL54,N/A,4.0,C21H23ClFNO2,N/A,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL55,N/A,4.0,C19H24N4O2,N/A,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
CHEMBL463,N/A,4.0,C9H10N2O3,N/A,Nc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL464,N/A,4.0,C23H30O3,N/A,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
CHEMBL57,N/A,4.0,C15H14N4O,N/A,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
CHEMBL465,N/A,4.0,C21H30O2,N/A,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
CHEMBL58,N/A,4.0,C22H28N4O6,N/A,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
CHEMBL59,N/A,4.0,C8H11NO2,N/A,NCCc1ccc(O)c(O)c1
CHEMBL467,N/A,4.0,CH4N2O2,N/A,NC(=O)NO
CHEMBL61,N/A,4.0,C22H22O8,N/A,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
CHEMBL64,N/A,4.0,C6H7N3O,N/A,NNC(=O)c1ccncc1
CHEMBL468,N/A,4.0,C13H10N2O4,N/A,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
CHEMBL469,N/A,4.0,C15H13NO3,N/A,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
CHEMBL471,N/A,4.0,C12H20N2O3S,N/A,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
CHEMBL472,N/A,4.0,C23H28ClN3O5S,N/A,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
CHEMBL473,N/A,4.0,C19H27N3O5S2,N/A,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
CHEMBL476,N/A,4.0,C6H10N6O,N/A,CN(C)/N=N/c1[nH]cnc1C(N)=O
CHEMBL477,N/A,4.0,C10H13N5O4,N/A,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL479,N/A,4.0,C21H26N2S2,N/A,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
CHEMBL480,N/A,4.0,C16H14F3N3O2S,N/A,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
CHEMBL481,N/A,4.0,C33H38N4O6,N/A,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CHEMBL70,N/A,4.0,C17H19NO3,N/A,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CHEMBL485,N/A,4.0,C18H21NO3,N/A,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CHEMBL71,N/A,4.0,C17H19ClN2S,N/A,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CHEMBL72,N/A,4.0,C18H22N2,N/A,CNCCCN1c2ccccc2CCc2ccccc21
CHEMBL488,N/A,4.0,C13H16N2O2,N/A,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL74,N/A,4.0,C23H14Na2O11,N/A,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
CHEMBL76,N/A,4.0,C18H26ClN3,N/A,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CHEMBL490,N/A,4.0,C19H20FNO3,N/A,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
CHEMBL416146,N/A,4.0,C18H15ClN2O2S,N/A,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
CHEMBL79,N/A,4.0,C14H22N2O,N/A,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL9967,N/A,4.0,C19H21N5O2,N/A,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
CHEMBL492,N/A,4.0,C17H28N2O,N/A,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
CHEMBL80,N/A,4.0,C19H21NO4,N/A,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
CHEMBL81,N/A,4.0,C28H27NO4S,N/A,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
CHEMBL83,N/A,4.0,C26H29NO,N/A,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
CHEMBL493,N/A,4.0,C32H40BrN5O5,N/A,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
CHEMBL494,N/A,4.0,C22H32O4,N/A,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
CHEMBL84,N/A,4.0,C23H23N3O5,N/A,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
CHEMBL85,N/A,4.0,C23H27FN4O2,N/A,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CHEMBL428880,N/A,4.0,C23H16O11,N/A,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
CHEMBL86,N/A,4.0,C14H22ClN3O2,N/A,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CHEMBL428647,N/A,4.0,C47H51NO14,N/A,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
CHEMBL495,N/A,4.0,C20H34O5,N/A,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
CHEMBL496,N/A,4.0,C13H6Cl6O2,N/A,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CHEMBL497,N/A,4.0,C9H5ClINO,N/A,Oc1c(I)cc(Cl)c2cccnc12
CHEMBL10878,N/A,4.0,C15H17NO2,N/A,COc1ccc2cccc(CCNC(C)=O)c2c1
CHEMBL88,N/A,4.0,C7H15Cl2N2O2P,N/A,O=P1(N(CCCl)CCCl)NCCCO1
CHEMBL498,N/A,4.0,C10H13ClN2O3S,N/A,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CHEMBL499,N/A,4.0,C13H24N4O3S,N/A,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
CHEMBL500,N/A,4.0,C14H20N2O2,N/A,CC(C)NCC(O)COc1cccc2[nH]ccc12
CHEMBL11359,N/A,4.0,H6Cl2N2Pt+2,N/A,N/A
CHEMBL276832,N/A,4.0,C8H8N4,N/A,NNc1nncc2ccccc12
CHEMBL501,N/A,4.0,C9H15NO4S,N/A,CC(N)Cc1ccccc1.O=S(=O)(O)O
CHEMBL267345,N/A,4.0,C47H73NO17,N/A,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
CHEMBL90,N/A,4.0,C5H9N3,N/A,NCCc1c[nH]cn1
CHEMBL91,N/A,4.0,C18H14Cl4N2O,N/A,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CHEMBL92,N/A,4.0,C43H53NO14,N/A,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
CHEMBL93,N/A,4.0,C11H12N2O2S,N/A,CC(c1cc2ccccc2s1)N(O)C(N)=O
CHEMBL94,N/A,4.0,C15H21N3O2,N/A,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
CHEMBL95,N/A,4.0,C13H14N2,N/A,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL502,N/A,4.0,C24H29NO3,N/A,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL503,N/A,4.0,C24H36O5,N/A,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL12610,N/A,4.0,C19H23N3O,N/A,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
CHEMBL504,N/A,4.0,C2H6OS,N/A,C[S+](C)[O-]
CHEMBL505,N/A,4.0,C16H19ClN2,N/A,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
CHEMBL506,N/A,4.0,C15H21N3O,N/A,COc1cc(NC(C)CCCN)c2ncccc2c1
CHEMBL509,N/A,4.0,C14H11Cl2NO2,N/A,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
CHEMBL511,N/A,4.0,C17H23N3O,N/A,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CHEMBL12713,N/A,4.0,C24H26ClFN4O,N/A,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
CHEMBL513,N/A,4.0,C5H9Cl2N3O2,N/A,O=NN(CCCl)C(=O)NCCCl
CHEMBL514,N/A,4.0,C9H16ClN3O2,N/A,O=NN(CCCl)C(=O)NC1CCCCC1
CHEMBL515,N/A,4.0,C14H19Cl2NO2,N/A,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CHEMBL516,N/A,4.0,C21H21N,N/A,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
CHEMBL12856,N/A,4.0,C10H9N3O,N/A,Nc1cc(-c2ccncc2)c[nH]c1=O
CHEMBL517,N/A,4.0,C21H29N3O,N/A,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
CHEMBL412873,N/A,4.0,C15H26N2,N/A,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1
CHEMBL98,N/A,4.0,C14H20N2O3,N/A,O=C(CCCCCCC(=O)Nc1ccccc1)NO
CHEMBL267648,N/A,4.0,C17H20FN3O3,N/A,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
CHEMBL521,N/A,4.0,C13H18O2,N/A,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL13376,N/A,4.0,C19H16ClNO4,N/A,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
